TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
246.456598639,-189.017,10.8809,3.95644,7.48144,5.17709,8.03412,10.3804,5.79874,4.02984,3.91656,2.00197,-0.356571,1.02867,1.30181,1.63385,1.65804,2.35382,0.92418,1.63228,2.01921,0.236099
246.479818594,-183.443,3.14626,5.91367,11.5876,3.28012,8.74051,6.843,7.56563,6.46148,2.96496,-0.906157,0.754661,1.98857,1.08238,-1.51007,-0.347963,0.0056297,-1.6132,0.38059,-0.389754,0.492148
246.503038549,-179.191,7.63209,4.55688,8.77484,4.08542,7.01433,8.43507,4.21541,0.599176,-0.0792287,0.416067,0.753453,4.56259,0.814072,-1.15902,0.482956,-0.191162,-0.613977,0.120387,-0.102772,1.41657
246.526258503,-199.312,6.73732,4.8671,6.35884,2.71262,3.78563,5.52033,4.16215,4.76679,4.52755,3.2299,5.45257,4.35631,5.03763,0.418158,-0.295092,0.989521,3.84719,4.93599,1.38839,0.458556
246.549478458,-192.471,3.53039,4.55515,3.21511,1.19092,4.88574,5.7114,2.10278,1.31442,4.26652,5.01595,5.7993,4.22752,3.58957,2.6391,1.88394,2.01928,4.13675,2.92455,1.16817,0.89208
246.572698413,-141.184,-0.081493,8.12228,8.50425,-4.06038,0.470896,-2.13564,1.43628,-1.42274,-0.359203,0.555448,1.70577,-1.38986,1.35782,1.83222,0.712838,0.404418,1.61287,0.721888,0.500333,-0.980308
246.595918367,-156.2,-0.301548,9.43192,11.3274,1.99153,5.81469,2.35674,3.19017,-0.755598,-0.806539,-0.378109,0.483289,-0.0239981,1.11528,-0.416261,-0.303847,-2.37308,-1.09313,1.40037,0.560579,0.0610662
246.619138322,-176.714,1.82832,10.2619,10.5677,-1.72668,6.17115,0.991454,2.11687,-0.0121827,0.882351,-0.499787,0.482028,0.772892,0.28245,0.855582,2.04738,1.71759,-0.036652,1.12128,0.344988,0.0715803
246.642358277,-182.828,7.76982,6.22871,9.856,1.6625,8.48479,3.48629,2.54659,-1.3732,-1.25486,-0.501016,2.05589,0.205372,-0.91868,1.06295,-1.70689,-1.43246,-1.40443,3.58917,1.91409,-0.203259
246.665578231,-174.112,4.23493,2.8944,7.41044,2.41841,6.07461,3.19187,5.39576,0.527057,-0.0358457,0.817547,3.21516,3.08636,1.42267,-0.197127,-0.932808,-2.22625,-0.622128,2.40939,2.86782,-0.684278
246.688798186,-172.922,1.78683,3.01045,8.01651,2.23076,5.59359,1.42165,2.55748,1.51258,0.847816,1.69689,1.61558,1.48524,0.623551,0.0464943,-2.45603,-1.06217,1.20988,0.480026,1.16607,-0.0199924
246.712018141,-178.736,3.23708,0.764387,7.32464,4.72869,5.65214,4.95988,3.86272,1.22951,1.68617,2.16899,2.8957,2.65759,1.94782,1.0041,-1.18681,-0.663512,0.627783,0.43085,1.96501,1.44342
246.735238095,-183.794,8.07961,0.599795,6.05116,5.58129,6.47414,3.85054,0.48495,0.847809,-0.707195,1.85501,3.66529,1.90397,1.89297,0.0570785,-2.38561,-1.48795,2.40979,3.52111,2.14109,1.44605
246.758458050,-134.04,6.97332,-1.8043,3.20802,-2.81651,0.714159,-2.56265,-2.16807,-1.91131,-1.24556,-2.16319,-1.8848,-1.54802,1.30247,0.273332,0.59364,-0.746433,-1.31306,-1.82952,-0.105943,0.578157
246.781678005,-147.302,2.68205,-0.967403,5.19008,1.74619,6.58489,2.89126,1.48948,-0.557728,-1.22355,-1.08116,-2.57808,-3.55211,-4.10291,-4.23112,-2.37964,-2.30491,-1.58911,-2.41988,-1.93077,-2.01315
246.804897959,-163.292,3.12738,-0.397992,5.83507,4.66738,6.91062,6.2383,8.65685,3.71949,1.84188,2.20972,1.17122,2.13595,0.102543,-1.42032,-2.31198,-2.24137,-3.20318,-4.08976,-2.46292,-0.477115
246.828117914,-190.896,6.57184,-2.1523,14.0978,4.30501,12.3801,7.38181,9.15456,2.71953,3.52824,-0.232808,0.6448,2.69962,6.54739,2.67262,1.34471,0.591515,1.48996,0.369666,-0.0502852,-1.25874
246.851337868,-189.424,11.3763,0.320865,8.44795,5.86387,11.3514,5.03671,4.20449,0.143488,2.01715,1.231,5.06085,4.46424,4.4139,3.33265,2.49977,1.86891,2.77279,1.89017,1.6149,2.77325
246.874557823,-193.316,11.2277,-0.320247,9.69719,6.62571,8.61928,6.30416,4.55528,4.64072,2.32983,2.40019,1.31745,2.3006,2.79204,1.48232,-0.0156769,1.341,2.69417,1.99432,1.05716,0.885362
246.897777778,-192.617,11.3027,2.09986,7.59369,4.84148,7.54629,3.78174,2.96327,5.00923,3.64356,1.85823,1.40793,0.867829,4.08926,1.73602,1.4269,1.03172,0.965414,1.11107,1.08118,0.0509689
246.920997732,-195.989,11.1636,-0.347755,5.88421,4.10143,6.44053,6.71263,5.27956,6.12125,3.50927,1.69283,2.60175,2.68571,4.47035,-0.0867403,2.09311,0.868845,0.491432,1.55903,1.38575,1.17109
246.944217687,-202.742,11.2734,1.31744,5.59722,4.96832,9.02261,6.07977,4.65311,2.66871,1.51615,2.72032,3.28102,2.08796,3.99493,0.0943615,-0.249148,-1.98965,0.387363,2.69917,0.9895,1.43245
246.967437642,-144.701,-4.88767,6.68058,6.34896,-4.5142,1.29653,-3.07876,-0.86321,-2.4924,0.73706,-1.87668,1.00838,-1.92184,-2.17817,1.20385,1.611,-0.296758,1.97106,-0.351596,-1.24346,-1.85147
246.990657596,-154.867,2.01594,6.89838,8.77051,-0.855389,2.03897,-2.92285,1.38892,-1.41572,-0.746643,-0.0479275,0.222995,-0.825769,-0.392363,-0.39748,0.72211,-1.02116,1.40435,2.17378,0.924397,-0.0122059
247.013877551,-169.581,1.7927,4.92287,8.49156,1.10781,9.71513,2.99653,1.42887,-1.55399,1.46401,-0.367931,0.434451,0.308009,0.484552,-0.837369,0.426126,-0.904567,1.83416,1.53001,1.33991,-1.78167
247.037097506,-179.631,5.02084,5.74312,12.5012,2.83831,8.20978,1.46741,2.09436,-3.33979,1.41634,-0.0198147,1.74211,-0.80919,1.56365,-0.348877,-0.818737,-0.55524,0.303586,1.71082,0.726915,-0.357313
247.060317460,-180.696,-4.07997,0.615419,9.74765,1.82865,11.9869,6.00143,4.41421,-1.31748,1.27552,0.30808,2.92135,-1.23196,1.54576,0.809716,2.05518,-0.842007,0.632137,-0.590509,0.468581,-0.0917751
247.083537415,-184.311,-1.47528,5.92899,12.0223,2.82377,9.43094,4.08456,2.47664,-1.03178,1.91572,0.835709,2.10552,1.09093,2.67863,2.42344,-0.944386,-2.03841,-1.69736,0.963046,2.1682,2.33062
247.106757370,-199.103,0.188682,7.3412,7.48653,5.54889,10.2847,5.62457,1.63342,-2.86142,3.16832,3.32269,3.94783,1.05361,0.177298,1.79865,2.09819,-2.11414,-1.94433,0.731876,3.11703,3.35925
247.129977324,-203.454,2.28136,8.92838,6.94218,2.64516,6.1373,5.84159,3.93946,1.13185,1.84212,3.33275,3.99924,4.06833,2.61157,0.0217098,-1.9168,-1.8256,-1.61032,1.77787,2.99545,3.10085
247.153197279,-150.72,8.56929,0.943237,5.8056,-1.75396,-0.413425,-1.00302,0.515804,-2.47856,1.14489,0.690631,2.94995,0.483516,1.7589,0.0573068,0.4512,-2.76576,0.789602,-0.509197,-1.28437,-2.12329
247.176417234,-165.898,6.85797,3.90025,6.52256,3.31446,4.74054,2.66374,-0.304079,-1.14282,-3.66539,-4.23763,-2.61528,-3.28727,-1.35676,-2.10231,-0.400054,-1.99478,-2.70147,-2.13167,-1.8024,-1.94064
247.199637188,-181.463,8.36118,7.30955,3.43268,7.15297,8.42238,7.08947,5.13437,1.58893,1.6932,-1.2193,0.675277,-1.65805,2.27816,2.21598,-0.485576,-4.05248,-5.15847,-3.97878,-1.48145,0.355077
247.222857143,-203.01,16.248,6.68803,7.44481,3.7546,10.8715,7.32833,7.29152,4.32414,4.72927,-1.04327,1.03587,1.31316,1.99588,0.915467,-0.759888,0.930966,0.423123,-0.135982,2.01987,2.28597
247.246077098,-210.863,17.025,6.95616,5.92476,8.38213,11.7038,7.32312,6.99885,2.82201,2.73245,-1.86455,2.54142,2.767,2.02652,1.10143,1.67654,0.666495,2.71856,2.89711,1.26254,0.795854
247.269297052,-195.473,3.47775,5.86072,11.9824,1.00056,13.3923,5.89563,8.82986,1.37223,3.94086,1.51474,3.51456,0.324109,4.30481,1.74178,0.0180779,-0.251102,-0.122619,2.01848,2.17865,0.959118
247.292517007,-202.941,6.25822,4.31846,10.564,4.1481,13.9247,5.29305,6.00514,1.53064,5.51803,3.53062,2.66197,-1.15672,-1.42348,0.240506,1.59801,0.847011,2.49951,1.08459,1.70012,2.21449
247.315736961,-218.409,4.62404,3.71083,10.2575,3.92094,13.0282,8.6736,6.87233,4.88621,5.57676,2.26542,2.3572,1.89461,2.72576,2.01755,0.173632,0.284798,1.21324,0.796826,2.57977,5.36602
247.338956916,-223.866,8.12368,1.6442,7.89792,2.49185,11.1968,6.61523,5.00574,4.83088,5.69135,5.1541,5.0463,2.71487,2.82099,1.38882,0.458038,-2.61833,1.71679,2.29752,1.59376,4.65594
247.362176871,-143.574,-5.78698,7.72528,8.59529,-2.99275,4.80749,2.36008,3.95034,1.77119,2.78802,0.318709,1.73859,0.764281,0.557351,2.22674,2.4506,-1.15245,0.837447,1.10664,0.383657,-0.492965
247.385396825,-152.109,2.44456,10.1889,10.435,-1.36937,4.96206,-0.0490819,1.18617,-1.84497,-0.0483546,0.082589,2.16178,0.128756,-0.487723,-0.19726,0.832581,0.415488,1.6318,1.02536,1.08326,-0.463052
247.408616780,-173.452,-1.71181,6.62245,12.6056,2.14355,8.91858,2.96935,3.00565,-1.62527,-0.712579,-1.38654,1.62856,2.07066,-0.250569,-0.383525,0.782613,-4.10987,-3.0398,0.933151,1.42525,0.508275
247.431836735,-182.154,3.6566,7.44714,14.8269,1.94802,6.72895,1.96588,2.64516,-1.66806,-0.0944491,-1.1352,0.670159,-0.263859,0.173387,0.968613,1.52731,0.825494,-0.680752,1.66531,2.92411,-0.361216
247.455056689,-187.724,0.0177498,5.2163,12.4857,4.02714,11.2604,6.29364,4.46109,0.284291,0.375536,-2.59112,-1.28144,0.404316,1.25946,0.647525,-0.19138,-1.22758,-0.876891,0.432393,1.06784,1.63802
247.478276644,-188.585,0.420132,7.39182,11.3183,-0.928782,8.18078,3.10495,4.17197,0.589666,2.15302,1.77831,2.92957,2.77445,0.656718,-0.724491,-1.58415,-0.499684,0.708491,0.74282,2.83541,2.44515
247.501496599,-193.787,5.09645,8.78534,10.1412,4.46006,8.58368,3.00625,3.50304,-1.70765,1.92544,1.57044,-0.0730861,0.226399,-0.164047,2.56139,0.697381,-1.33098,-1.2607,-1.36301,1.68065,2.52456
247.524716553,-206.751,1.86286,7.37284,7.91819,4.24044,9.52508,7.00266,5.53494,0.164448,0.880795,1.38703,2.7425,1.98749,2.25418,1.65359,0.254065,-2.01307,-2.0499,-0.973732,1.3378,2.14465
247.547936508,-160.415,10.1443,1.87208,5.25394,-5.45798,1.14012,0.228147,0.938951,0.21902,1.98591,-0.0729715,4.97275,2.49004,1.46732,2.13368,3.71603,1.80272,-2.40298,-3.04172,0.447479,0.474572
247.571156463,-145.204,6.29959,-1.50368,5.08949,-2.92994,4.8184,0.821021,2.71415,-1.10753,-0.246627,-2.71291,-2.79746,-1.89005,-2.37186,-0.829744,-0.956843,-1.76471,-3.38901,-3.07935,-3.82326,-2.59419
247.594376417,-156.567,5.33205,-1.14153,6.87624,4.82629,7.59737,1.29253,6.30476,0.929364,1.0006,0.987383,0.658081,1.23193,0.49277,-1.73576,-2.34762,-0.212848,-1.43554,-2.0872,-2.7422,-3.95122
247.617596372,-178.063,7.88246,-2.99095,11.9644,5.9038,10.6809,5.34857,7.67761,5.61636,5.55978,1.24295,0.149071,-2.45397,0.246127,1.88369,1.80997,0.0862137,0.301896,0.517381,-0.173239,-0.484514
247.640816327,-197.055,7.48457,-2.81333,12.1777,5.21616,13.7666,8.24828,9.8917,2.06004,2.85512,0.748508,4.3348,2.5495,4.61123,3.95598,3.864,0.866145,0.732353,-0.379989,-1.27702,-1.59483
247.664036281,-198.217,9.21588,-2.24963,10.0624,6.28422,15.0368,6.93466,8.67212,3.30477,4.81223,1.33577,1.91937,-0.848248,2.06524,0.297618,0.995018,-0.76011,0.79897,0.241572,0.374772,-0.953092
247.687256236,-214.883,9.46933,3.25853,7.26662,4.29228,11.3338,7.7721,7.93424,4.11079,5.65005,2.85501,3.09127,2.02383,3.48045,2.69365,-0.516843,-1.26325,-0.526192,-1.16571,2.00732,1.78295
