TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.922630385,0.559498,0.0473128,0.887248,0.39329,0.200753,0.277156,0,1.62036,0.423503,0.416654,0.785099,1.63296
4.969070295,0.694817,0.29459,0.433936,0.487007,0.43616,0.244839,0,0.768796,0.583593,0.675442,0.884345,1.65836
5.015510204,0.613944,0.380015,0.632895,0.451811,0.311376,0.309599,0,0.337834,0.835736,0.850561,0.978367,1.59054
5.061950113,0.555142,0.402544,0.675387,0.489224,0.301823,0.430878,0.11834,0.280617,1.04413,0.894826,0.991546,1.39049
5.108390023,0.509412,0.516143,0.721495,0.470448,0.240549,0.465046,0.261007,0.275866,1.04667,0.859058,1.05935,1.25703
5.154829932,0.6142,0.841792,1.13924,0.448479,0.265535,0.965237,0.376615,1.10765,0.479076,0.420084,0.393397,1.36431
5.201269841,0.506025,0.892866,1.22018,0.494579,0.0781638,0.697779,0.20415,1.84056,0.0899463,0.358269,0.317773,1.62986
5.247709751,0.161887,0.673113,1.45698,0.0532058,0.0788845,0.638434,0.140471,2.13644,0.0275206,0.11896,0.150378,1.57859
5.294149660,0.000359415,0.618854,1.03022,0.0695874,0.0973055,0.46879,0,2.47775,0.141939,0.172537,0.812733,1.28982
5.340589569,0.593204,0.262805,0.772218,0.491413,0.392072,0.339276,0,1.41331,0.436872,0.585672,0.833942,1.33325
5.387029478,0.673858,0.458814,0.208648,0.542641,0.43368,0.2177,0,0.73988,0.761635,0.877808,1.07133,1.13733
5.433469388,0.560732,0.613078,0.298051,0.548335,0.477515,0.2414,0,0.363471,0.879994,0.936846,1.2819,0.853906
5.479909297,0.542291,0.648376,0.288147,0.525931,0.480293,0.368736,0,0.289045,1.0462,0.940959,1.39163,0.57469
5.526349206,0.553096,0.42,0.149973,0.529773,0.514054,0.517415,0.0082735,0.364468,1.16309,0.900825,1.31764,0.311723
5.572789116,0.575012,0.56941,0.641426,0.574302,0.459399,0.536726,0.00909756,1.08785,0.706972,0.411672,0.521732,1.47435
5.619229025,0.331143,0.749269,1.21996,0.485937,0.0558815,0.715219,0.102177,2.08179,0.15957,0.320012,0.625356,1.65653
5.665668934,0.156815,0.607793,1.54289,0.0617637,0.0624375,0.669882,0.0784758,2.42984,0.0310712,0.0781509,0.464835,1.50084
5.712108844,0.000177415,0.470485,1.1684,0.0860775,0.0744238,0.542352,0,2.66686,0,0.151384,0.68031,1.30971
5.758548753,0.574612,0.0654447,0.687852,0.472145,0.293062,0.2972,0,1.54747,0.422525,0.449814,0.830754,1.63482
5.804988662,0.681755,0.289077,0.426312,0.496045,0.355933,0.239234,0,0.756367,0.622375,0.668647,0.949831,1.6835
5.851428571,0.606853,0.350618,0.611909,0.469571,0.225094,0.350663,0,0.361836,0.869262,0.884297,1.02354,1.61324
5.897868481,0.542587,0.37739,0.655712,0.523897,0.223348,0.498046,0.0879216,0.309148,1.06607,0.922788,1.01441,1.40123
5.944308390,0.509321,0.499917,0.767725,0.49672,0.187846,0.566898,0.260938,0.27861,1.0214,0.817934,1.05101,1.36466
5.990748299,0.629132,0.856266,1.1712,0.457095,0.233265,1.0983,0.348719,1.22255,0.414335,0.31915,0.427636,1.55523
6.037188209,0.48146,0.839827,1.30948,0.419334,0.0728169,0.706354,0.201452,1.83417,0.120009,0.318218,0.330861,1.60164
6.083628118,0.148628,0.600181,1.64239,0.0671329,0.0755478,0.677219,0.16275,2.19,0.0136823,0.0985242,0.117652,1.49098
6.130068027,0.000219939,0.413497,1.08519,0.0847737,0.0951343,0.456947,0,2.50179,0.210757,0.138702,0.853965,1.22399
6.176507937,0.658191,0.241207,0.75953,0.478853,0.430313,0.333376,0,1.36868,0.468685,0.621253,0.898487,1.20816
6.222947846,0.691163,0.445744,0.246986,0.554652,0.441554,0.204782,0,0.722274,0.79549,0.867914,1.1547,0.984504
6.269387755,0.555864,0.604903,0.309812,0.533865,0.467901,0.269134,0,0.343623,0.916574,0.926864,1.37857,0.691073
6.315827664,0.523625,0.63946,0.294903,0.503792,0.436156,0.408424,0,0.297977,1.04645,0.962097,1.47775,0.428801
6.362267574,0.472432,0.389237,0.209125,0.531747,0.494847,0.546868,0.00712085,0.270544,1.17293,0.923033,1.34116,0.171434
6.408707483,0.459514,0.5335,0.867222,0.541542,0.442416,0.694836,0.00637287,1.30266,0.635574,0.383889,0.539635,1.50317
6.455147392,0.365302,0.669897,1.17868,0.4805,0.078511,0.685222,0.106011,2.2251,0.17439,0.278272,0.372171,1.59505
6.501587302,0.0257513,0.545856,1.54379,0.0441248,0.0815224,0.673722,0.0545406,2.5878,0.0353722,0.088958,0.281437,1.41962
6.548027211,0.000520878,0.358031,1.14948,0.205539,0.110169,0.541767,0,2.6113,0.027275,0.21334,0.640936,1.33039
6.594467120,0.586085,0.0594015,0.684691,0.548766,0.263952,0.32488,0,1.45203,0.429085,0.40951,0.789735,1.59375
6.640907029,0.672799,0.270719,0.459764,0.535723,0.383162,0.229637,0,0.713287,0.641213,0.68143,0.946587,1.60873
6.687346939,0.584641,0.337093,0.634832,0.496992,0.270918,0.348654,0,0.337483,0.908992,0.855178,1.00157,1.55121
6.733786848,0.542073,0.370923,0.666258,0.522919,0.298521,0.444445,0.0997607,0.282136,1.05862,0.882063,1.01016,1.32319
6.780226757,0.659213,0.461696,0.632788,0.4999,0.211932,0.540439,0.293485,0.463676,0.91323,0.700053,0.991143,1.2399
6.826666667,0.669831,0.836118,1.37135,0.460452,0.17056,1.15389,0.289555,1.25157,0.309075,0.22322,0.434881,1.40652
6.873106576,0.407627,0.840953,1.50069,0.248837,0.0703753,0.738105,0.186884,1.86179,0.0824574,0.213873,0.227602,1.48848
6.919546485,0.214754,0.620329,1.81702,0.0630523,0.0727609,0.616037,0.111266,2.02053,0.00498389,0.0995483,0.146605,1.42849
6.965986395,0.000334864,0.346916,1.25114,0.0873951,0.094938,0.458885,0,2.40864,0.240042,0.172282,0.751547,1.2636
7.012426304,0.626265,0.226675,0.80294,0.480526,0.401457,0.355814,0,1.31363,0.485237,0.654558,0.825122,1.19896
7.058866213,0.646912,0.416931,0.262055,0.577196,0.446479,0.218365,0,0.730106,0.774257,0.900567,1.12304,0.913863
7.105306122,0.534769,0.572514,0.324605,0.553958,0.447115,0.306847,0,0.350258,0.930304,0.962352,1.31861,0.658261
7.151746032,0.510333,0.593299,0.288739,0.533203,0.392027,0.41799,0,0.297564,1.07297,0.97488,1.43707,0.434901
7.198185941,0.503132,0.369542,0.160624,0.546405,0.428035,0.606029,0.00696906,0.354541,1.15323,0.934286,1.2913,0.215313
7.244625850,0.474634,0.611817,1.04582,0.532106,0.383143,0.863137,0.00491014,1.23541,0.519287,0.314115,0.525825,1.55967
7.291065760,0.298836,0.79791,1.27897,0.417433,0.058416,0.622932,0.0752456,2.23153,0.0891001,0.246509,0.51212,1.53598
7.337505669,0.0928888,0.500857,1.63362,0.0901497,0.0540442,0.626623,0.0423073,2.47551,0.0301029,0.111836,0.272521,1.43544
7.383945578,0.000368374,0.275865,1.21588,0.143557,0.125804,0.423562,0,2.55085,0.0700868,0.23598,0.679477,1.42001
7.430385488,0.629721,0.0769371,0.67069,0.498618,0.235893,0.260999,0,1.38968,0.480011,0.441744,0.80992,1.66901
7.476825397,0.668609,0.364377,0.469531,0.508822,0.435037,0.213619,0,0.691059,0.644371,0.691334,0.937298,1.58282
7.523265306,0.594994,0.394383,0.621584,0.470292,0.289681,0.309193,0,0.337264,0.88063,0.888467,1.00086,1.49048
7.569705215,0.533257,0.435577,0.717564,0.498475,0.300991,0.39456,0.0624721,0.2726,1.05366,0.906354,1.01793,1.27846
7.616145125,0.622162,0.497171,0.772269,0.488588,0.245611,0.566336,0.33016,0.418318,0.922044,0.678419,0.924711,1.2698
7.662585034,0.675524,0.810188,1.45618,0.477626,0.274525,1.10783,0.275391,1.31987,0.286219,0.214021,0.429936,1.53731
7.709024943,0.21429,0.78252,1.5044,0.214569,0.0752687,0.69175,0.20216,1.97649,0.0343263,0.186499,0.281772,1.58153
7.755464853,0.209947,0.51844,1.76628,0.0731467,0.0760932,0.597601,0.112035,2.06269,0,0.101039,0.193707,1.4725
7.801904762,0.0583,0.268578,1.16947,0.258189,0.165006,0.429199,0,2.41068,0.253596,0.14754,0.795396,1.22784
7.848344671,0.600462,0.197417,0.782163,0.497398,0.418835,0.344464,0,1.28149,0.496871,0.636924,0.845714,1.16018
7.894784580,0.659638,0.417657,0.239894,0.561754,0.44062,0.194175,0,0.761166,0.767527,0.873563,1.2048,0.872396
7.941224490,0.549523,0.58357,0.291676,0.466786,0.505129,0.272529,0,0.451027,0.868952,0.919248,1.41239,0.630579
7.987664399,0.534375,0.584513,0.246871,0.459825,0.491538,0.393861,0,0.389854,0.992025,0.917079,1.50435,0.405762
8.034104308,0.591635,0.31868,0.133161,0.478364,0.568154,0.600216,0.0353284,0.447745,1.09384,0.849569,1.26791,0.19374
8.080544218,0.519733,0.694348,1.21939,0.492337,0.403179,0.935832,0.00313434,1.41093,0.430766,0.228297,0.529578,1.49829
8.126984127,0.239599,0.877596,1.54626,0.236706,0.0711161,0.668024,0.139323,2.1899,0.1048,0.18751,0.319034,1.59161
8.173424036,0.15046,0.472055,1.65135,0.0699498,0.072965,0.638534,0.106569,2.41342,0.0426815,0.106933,0.210352,1.5059
8.219863946,0.00465572,0.250796,1.17052,0.159984,0.188154,0.42289,0,2.53079,0.16248,0.168796,0.760856,1.47718
8.266303855,0.643979,0.0886961,0.628738,0.451754,0.261032,0.277615,0,1.33268,0.488397,0.480454,0.779202,1.72015
